model,train_accuracy,val_accuracy,test_accuracy,train_precision,val_precision,test_precision,train_recall,val_recall,test_recall,train_f1,val_f1,test_f1,test_auc_roc,test_mcc,training_time,best_params
KNN,0.6884494553169498,0.6882873734649192,0.6186970456636943,0.6911953417134657,0.6923925027563396,0.6214373823281178,0.6812686151042446,0.6775831429296776,0.6074760423938567,0.6861960795057602,0.6849077786688051,0.6143774069319641,0.6629919035005223,0.23745457080360718,181.9953112602234,"{'metric': 'euclidean', 'n_neighbors': 11, 'weights': 'uniform'}"
Naive Bayes,0.5470970637435569,0.5473296734680926,0.5490432519912417,0.5265840664486512,0.5267866767273903,0.5276703894616266,0.9329108243006161,0.9305026656511804,0.9355207209494193,0.6731862901445079,0.6727235184802808,0.6747533929920124,0.6566375102685698,0.15456772280289774,0.6391880512237549,{'var_smoothing': 1e-09}
Decision Tree,0.6301527288552816,0.6325326055913433,0.6269793418589154,0.6149577167019028,0.6179527736978873,0.6124662769784173,0.6962422989568742,0.6942751967504442,0.6915656533604112,0.6530804901229135,0.6538944348137964,0.6496169781513607,0.6730058504847267,0.25610056929220615,18.135404109954834,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2}"
Random Forest,0.7382529342164316,0.7411227112620189,0.6616634404848792,0.7312032307875045,0.7340150301835654,0.6593681576477948,0.7534986195922697,0.7562833206397562,0.6689090562924415,0.7421835231078365,0.7449828071272273,0.6641043412513389,0.7212352966737157,0.3233604251466881,866.5844357013702,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 300}"
Logistic Regression,0.6324851419167947,0.6336749912734427,0.6300574366134611,0.6250369020267235,0.6266843118383061,0.6226437675782419,0.6622693087081287,0.6612084285351613,0.6603414355524528,0.6431146739919967,0.6434836318715257,0.6409387704817051,0.6821926144020615,0.26059153887083314,95.29640865325928,"{'C': 10, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'lbfgs'}"
